old_url,old_handle,old_title,redirects_to,mapping,redirect_live,redirect_live_target,matches_plan,deleted,old_collection_id
/collections/riiffs-perfumes-collection-original-riiffs-fragrances-online-uae,riiffs-perfumes-collection-original-riiffs-fragrances-online-uae,RiiFFS Perfumes Collection | Original RiiFFS Fragrances Online UAE,/collections/riiffs,renamed,yes,/collections/riiffs,yes,,gid://shopify/Collection/301926318193
/collections/roberto-cavalli-perfumes,roberto-cavalli-perfumes,Roberto Cavalli Perfumes Collection | Buy Original Roberto Cavalli Fragrances Online at Fragrance Secrets,/collections/roberto-cavalli,renamed,yes,/collections/roberto-cavalli,yes,,gid://shopify/Collection/293508022385
/collections/roja-dove-perfumes-collection-buy-original-roja-dove-fragrance-online-fragrance-secrets,roja-dove-perfumes-collection-buy-original-roja-dove-fragrance-online-fragrance-secrets,Roja Dove Perfumes Collection - Buy Original Roja Dove Fragrance Online - Fragrance Secrets,/collections/all,none,yes,/collections/all,yes,,gid://shopify/Collection/308352712817
/collections/secret-scents-perfumes,secret-scents-perfumes,Secret Scents Perfumes,/collections/secret-scents,renamed,yes,/collections/secret-scents,yes,,gid://shopify/Collection/304180723825
/collections/shazine-attar-roll-on-collection-premium-concentrated-perfume-oils,shazine-attar-roll-on-collection-premium-concentrated-perfume-oils,Shazine Attar Roll On Collection – Premium Concentrated Perfume Oils,/collections/attar,mapped,yes,/collections/attar,yes,,gid://shopify/Collection/297323266161
/collections/signature-collection-where-bold-scents-meet-timeless-elegance-discover-your-signature-scent,signature-collection-where-bold-scents-meet-timeless-elegance-discover-your-signature-scent,Signature Collection: Where Bold Scents Meet Timeless Elegance – Discover Your Signature Scent.,/collections/all,none,yes,/collections/all,yes,,gid://shopify/Collection/310381183089
/collections/stephane-humbert-lucas-perfumes,stephane-humbert-lucas-perfumes,Stephane Humbert Lucas Perfumes Collection | Buy Original Stephane Humbert Lucas Fragrances Online at Fragrance Secrets,/collections/all,none,yes,/collections/all,yes,,gid://shopify/Collection/297730277489
/collections/super-sale,super-sale,Exclusive Perfume Deals – Luxury Scents at Great Prices,/collections/crazy-deals,mapped,yes,/collections/crazy-deals,yes,,gid://shopify/Collection/286249615473
/collections/swiss-arabian-perfumes,swiss-arabian-perfumes,Swiss Arabian Perfumes Collection | Buy Original Swiss Arabian Fragrances Online at Fragrance Secrets,/collections/swiss-arabian,renamed,yes,/collections/swiss-arabian,yes,,gid://shopify/Collection/286145544305
/collections/tubbees-in-a-tub-collection-sweet-delights-and-playful-scents,tubbees-in-a-tub-collection-sweet-delights-and-playful-scents,Tubbees In A Tub Collection: Sweet Delights and Playful Scents,/collections/all,none,yes,/collections/all,yes,,gid://shopify/Collection/310552428657
/collections/unisex-collection,unisex-collection,Unisex Perfumes & Fragrances – Buy Unisex Perfume Online UAE,/collections/unisex,mapped,yes,/collections/unisex,yes,,gid://shopify/Collection/292059119729
/collections/unisex-perfumes-collection-buy-original-unisex-perfumes-online-at-fragrance-secrets,unisex-perfumes-collection-buy-original-unisex-perfumes-online-at-fragrance-secrets,Unisex Perfumes Collection – Buy Original Unisex Perfumes Online at Fragrance Secrets,/collections/unisex,renamed,yes,/collections/unisex,yes,,gid://shopify/Collection/309909586033
/collections/unisex-perfumes-collection-buy-original-unisex-perfumes-online-at-fragrance-secrets-1,unisex-perfumes-collection-buy-original-unisex-perfumes-online-at-fragrance-secrets-1,Unisex Perfumes Collection – Buy Original Unisex Perfumes Online at Fragrance Secrets,/collections/unisex,renamed,yes,/collections/unisex,yes,,gid://shopify/Collection/309910110321
/collections/unisex-perfumes-collection-buy-original-unisex-perfumes-online-at-fragrance-secrets-2,unisex-perfumes-collection-buy-original-unisex-perfumes-online-at-fragrance-secrets-2,Unisex Perfumes Collection – Buy Original Unisex Perfumes Online at Fragrance Secrets,/collections/unisex,renamed,yes,/collections/unisex,yes,,gid://shopify/Collection/309910306929
/collections/valentine-s-day-exclusive-perfume-bundles-romantic-gifts-online-at-fragrance-secrets,valentine-s-day-exclusive-perfume-bundles-romantic-gifts-online-at-fragrance-secrets,Valentine’s Day Exclusive Perfume Bundles | Romantic Gifts Online at Fragrance Secrets,/collections/gift-sets,mapped,yes,/collections/gift-sets,yes,,gid://shopify/Collection/299130945649
/collections/versace-perfumes-collection-buy-original-versace-fragrance-online-fragrance-secrets,versace-perfumes-collection-buy-original-versace-fragrance-online-fragrance-secrets,Versace Perfumes Collection - Buy Original Versace Fragrance Online - Fragrance Secrets,/collections/all,none,yes,/collections/all,yes,,gid://shopify/Collection/308558561393
/collections/women-s-perfumes-collection-buy-original-women-s-perfumes-online-at-fragrance-secrets,women-s-perfumes-collection-buy-original-women-s-perfumes-online-at-fragrance-secrets,Women’s Perfumes Collection – Buy Original Women’s Perfumes Online at Fragrance Secrets,/collections/womens,mapped,yes,/collections/womens,yes,,gid://shopify/Collection/309913026673
/collections/yves-saint-laurent-perfumes-collection-buy-original-ysl-fragrances-online-uae,yves-saint-laurent-perfumes-collection-buy-original-ysl-fragrances-online-uae,Yves Saint Laurent Perfumes Collection | Buy Original YSL Fragrances Online UAE,/collections/yves-saint-laurent,renamed,yes,/collections/yves-saint-laurent,yes,,gid://shopify/Collection/301934837873
